IAA_Atual,IEG_Atual,IPS_Atual,IPP_Atual,IDA_Atual,Defasagem_Atual,IAA_A-1,IEG_A-1,IPS_A-1,IPP_A-1,IDA_A-1,Defasagem_A-1
9.5,8.3,7.5,8.0,7.3,0,8.5,9.4,7.52,6.875,7.2,-1.0
9.0,5.8,7.5,6.3,8.0,0,0.0,7.5,7.52,6.875,7.6,0.0
9.5,9.8,7.5,8.1,7.0,1,8.0,9.8,7.52,6.875,8.3,0.0
9.5,3.6,7.5,5.8,4.8,0,9.5,8.0,7.52,5.625,6.5,-2.0
9.0,8.8,7.5,8.4,7.8,0,9.0,9.7,7.52,7.5,8.3,-1.0
8.0,9.0,5.0,6.7,6.3,1,0.0,9.9,3.77,7.083333333,7.9,-1.0
7.5,8.5,3.8,7.7,6.0,0,0.0,9.6,5.0,7.708333333,5.5,-1.0
8.5,6.8,6.3,7.7,6.3,1,8.5,9.5,3.77,8.541666667,8.2,-1.0
7.5,7.6,10.0,7.1,3.8,0,9.5,9.5,2.52,8.75,5.0,-1.0
0.0,6.6,5.6,6.7,3.0,0,0.0,9.1,7.52,6.875,6.4,-1.0
9.0,8.3,6.9,7.3,4.5,1,8.5,9.9,2.52,7.1875,5.7,0.0
7.0,6.6,4.4,4.8,4.3,0,8.0,9.6,7.52,5.78125,6.8,-2.0
7.9,7.8,7.5,6.0,4.0,1,10.0,9.3,6.27,7.34375,6.3,-1.0
8.5,5.6,6.3,8.1,5.3,0,9.0,6.0,2.52,7.916666667,5.6,-2.0
7.5,6.1,5.6,5.6,1.0,0,5.3,8.7,2.52,6.25,3.5,-2.0
9.5,10.0,8.1,8.3,7.5,1,8.5,9.3,7.52,7.5,8.6,-1.0
7.4,7.8,7.5,7.7,5.3,1,0.0,9.4,5.02,7.5,6.7,0.0
7.5,8.1,7.5,7.7,7.5,1,7.5,9.0,7.52,8.333333333,8.3,-1.0
7.5,9.0,7.5,7.1,5.3,0,9.5,9.6,2.52,7.708333333,5.0,0.0
9.5,10.0,7.5,7.9,5.3,1,9.5,9.7,7.52,7.5,6.0,-1.0
9.5,9.5,9.4,9.0,9.5,1,10.0,10.0,6.27,8.75,9.1,0.0
8.0,8.8,6.9,8.4,7.3,1,8.5,9.0,7.52,7.5,8.0,-1.0
6.3,8.1,7.5,7.8,5.0,1,10.0,9.7,7.52,7.96875,7.9,-1.0
9.5,7.8,6.3,7.2,5.0,1,0.0,8.0,5.02,7.5,7.7,-1.0
8.5,9.0,7.5,7.2,4.8,1,7.9,10.0,2.52,8.75,6.6,0.0
9.0,7.6,4.4,5.6,3.0,1,7.9,7.5,2.52,5.0,5.5,-1.0
7.5,9.2,7.5,8.8,7.3,1,8.0,9.0,7.52,7.5,6.9,-1.0
7.4,8.3,4.4,7.8,8.0,1,8.5,9.7,3.77,6.875,6.9,-1.0
8.0,9.5,7.5,8.4,9.0,1,7.5,9.2,7.52,7.083333333,8.3,-1.0
7.0,8.0,7.5,8.4,8.8,1,7.0,8.4,7.52,8.541666667,8.9,-1.0
9.0,9.8,3.8,9.1,8.0,1,8.5,9.8,7.52,7.96875,8.0,0.0
9.0,10.0,7.5,8.1,6.0,1,9.0,9.1,7.52,7.5,6.5,-1.0
9.2,8.2,5.6,7.7,6.8,0,9.5,9.0,3.77,7.083333333,6.5,-1.0
7.5,9.8,6.9,7.0,6.8,1,9.0,9.3,7.52,7.916666667,7.0,0.0
10.0,7.2,6.3,6.4,5.8,0,9.5,8.1,5.02,6.875,6.4,-1.0
